description	level_1
[鍋寶]氣泡水機專用水瓶提袋1000c.c	生活百貨
香料番茄焦糖烤雞義大利麵-份	餐飲消費
防貓抓二人沙發套170x55x100-麻花米	寵物
檔期‧楊枝甘露	食品雜貨
550-綺芙莉彩色月拋隱形眼鏡1片裝台場金	美容沐浴
白爛貓提花大浴巾-爆米花款	傢俱寢飾
悅氏(小)礦泉水600ML	飲料沖泡
來一客牛肉蔬菜麵	泡麵罐頭
外出必備 Switch專屬 BEKAS貝卡斯卡匣 遊戲卡帶收納 卡匣收納盒 遊戲卡帶隨身攜帶	戶外休閒
大舊金山章魚燒	生鮮冷藏
百年思索	生活百貨
維拉尼帕瑪火腿切	生鮮冷藏
舒酸定專業抗敏護	美容沐浴
大茂蔭瓜（玻）１２０ｇ	泡麵罐頭
【青鳥家居】法蘭絨床包被套組-5款任選(加大)	傢俱寢飾
茄汁雞米花義大利麵	餐飲消費
【LAPO】蘋果MFi認證 USB-C to Lightning PD快充線 耐彎折傳輸充電線1.5M(iPhone 11 Pro Max Xs XR)	3C電子/配件
N012059464【Lisscode】敲敲小摩 按摩槍/筋膜槍-日出青 LB-300 (台灣設計製造)	小家電專區
地瓜大福	生鮮冷藏
VA||飾品、配件雜貨類	季節飾品
第70標 順速敏益生菌	其他消費
My Road H渼洛髮洗髮露	美容沐浴
味全雞蛋布丁12入	生鮮冷藏
白玉香芒	餐飲消費
中辣/改筆管/	生活百貨
水鑽合金雙環交叉手鍊	戶外休閒
Hoppetta 六層紗動物防踢被手帕禮袋組	嬰幼兒與孕婦
統一AB優酪乳無糖 902ml 2021-04-16 l4ia-96r9	生鮮冷藏
新格牌 2開2孔2座壁插 型號:SN-222-ES	生活百貨
生鮮冷凍品一批(2089965)	其他消費
牛刀小試50oz(4)	其他消費
8810019橡皮筋(盒)	生活百貨
44255032 極暖羽絨長版外套-女 (黑色 - M)	服飾與配件精品
＊歐司朗OSRAM＊迷你10W LED燈泡 全電壓-黃光 5入	生活百貨
有機小米(450g/包)-1177	食品雜貨
死亡筆記本 (8)	生活百貨
鞋套-007惠爾挺男鞋套3XL	戶外休閒
美國Frigidaire富及第 30L 清淨除濕機 FDH-3031Y 15-19坪	大型家電/視聽影音
萊雅勁炭控油潔面乳[150ml]	美容沐浴
阿浪公仔	戶外休閒
生巧克力布蕾	零食點心
新嬌生嬰兒甜夢沐浴露 750ML	嬰幼兒與孕婦
英式奶茶(冰)-中	飲料沖泡
(現貨) 日本代購 Targa 變形新幹線機器人 入浴球/入浴劑	戶外休閒
BASIC灰色系靠背折疊椅 -	居家傢俱
無字食譜	書籍
可擺噴頭加壓水槍	生活百貨
義美魚餃 83g 2021-01-09 f6oe-0rmt	冷凍食品
BR經典四季果罐200ML	其他消費
逗貓棒 小老鼠逗貓棒 貓玩具 貓咪逗貓棒 逗貓玩具	寵物
蕾媽媽 夜市藥燉排骨[1000g]	其他消費
Cake	餐飲消費
80P鳳尾紅紙  全開	生活百貨
雅買加萊姆	餐飲消費
彌香普洱茶	飲料沖泡
定食系列	餐飲消費
餐盒_鹽烤鯖魚	泡麵罐頭
喉潤康口含錠	食品雜貨
汽球 小3號500入 超琦	生活百貨
UB套餐-油蔥麵線	食品雜貨
無刷毛	其他消費
台利高科技白泡棉	交通
滿意超柔感純水加厚濕巾箱裝80片8包$1	居家清潔
BB6989045	美容沐浴
2021 GL Monthly Diary/ B6/ Min	生活百貨
停敏錠	食品雜貨
雲絲頓天香5毫克香菸N51.8	菸/酒
Verbatim C to Lightning防	3C電子/配件
海尼根啤酒330ml瓶6入	菸/酒
AOKANA奧卡納 YKK拉鍊 輕量防潑水休閒旅行袋 行李袋(黑)436	戶外休閒
春櫻莓果歐蕾	餐飲消費
Swiss棉花糖牛奶巧克力粉	零食點心
阿拉比卡特調咖啡	飲料沖泡
雀巢金牌咖啡補充包 120g	飲料沖泡
兒童止滑保暖毛襪  麋鹿	服飾與配件精品
家庭用食鹽-800g	食品雜貨
悅氏礦泉氣泡飲－Ｍｏｊｉｔｏ風味　５２０ｍｌ	飲料沖泡
立得清 酒精擦拭巾90抽3入組	居家清潔
T.F甜蜜隨手包烏梅李	零食點心
仕高利達12年藍牌	菸/酒
【台灣現貨 超商免運】日本熱銷防蟲捕蟎貼 捕蟎 捕蟎片 日本熱銷防蟲捕蟎貼 補蟎 防蟎 防蟎貼片 防蟲捕蟎貼 捕蟎 捕蟎	居家清潔
布質圈束鳳梨-白11003-58-4C1	生活百貨
3M抗痘洗面乳(小)40g	美容沐浴
3M 25.4MM汽車專用超強雙面膠帶	交通
【neobio 麗柏有機】迷迭香海鹽草本護齦牙膏 無氟 75ml	美容沐浴
冷藏肉-豬腱子肉	生鮮冷藏
淺 哥倫比亞_8	生活百貨
素食烏醋 600ml	食品雜貨
特調咖啡 (冰)	飲料沖泡
開票手續費(NaNa養生美體工作室)	生活百貨
綠采-有機轉型期青椒(M)	生鮮冷藏
施達必旺成長肥300CC	戶外休閒
9789863775157高難度溝通：麻省理工最熱門的溝通課，在對立的世界裡，如何善用溝通打	書籍
幫寶適清新褲XXL	嬰幼兒與孕婦
德風健康館||禮品名店	其他消費
珍珠板3MM-29(30)金	生活百貨
DIY迷你擴充零件熊貓棕熊	3C電子/配件
包裝用極品蝦堡	餐飲消費
星之卡比 桌上小物 盒玩 擺飾 辦公小物 卡比之星 Re-Ment	傢俱寢飾
Panasonic 國際牌 25L微電腦微波爐 NN-ST34H-庫(J)-網	小家電專區
日漫咖啡兌換券	其他消費
(熱銷好評不斷!) [ GO!HOME ] 速效除水垢噴霧 500ml(＊熱銷十萬瓶好評不斷＊　十年水垢也沒問題_有感體驗無效退費:1瓶 送除水垢海綿(小)X1 $699)(拆開計費) #250	居家清潔
SAPPORO黑麥啤酒	菸/酒
餃實在鮮肉燒餃子	冷凍食品
59969001     S	食品雜貨
仙知味中筋�	食品雜貨
（大）波士頓龍蝦雙人套餐	餐飲消費
Ａ4正妹紅茶	飲料沖泡
玻璃RP84瓶	生活百貨
普拿疼膜衣錠(24顆)	食品雜貨
源順純黑芝麻粉500g	飲料沖泡
小莊園系列 710ml二代陶瓷易潔層吸管杯合購【A】配方 - 兩組	嬰幼兒與孕婦
巧易收時尚彩漾磁扣防蚊門簾[約100*210cm]	傢俱寢飾
鼎新-醬油膏(大)500ml	食品雜貨
S2021012900284租金	戶外休閒
11001停車費	交通
【優質の網店】台灣現貨汽車置物盒 車用縫隙置物盒 座椅縫隙收納盒 縫隙收納 車用夾縫收納盒 椅縫收 車用置物箱	交通
水鑽拖鞋水钻水鑚女生厚底鞋松糕鞋楔型鞋人字拖鞋沙灘拖鞋涼拖鞋夾腳拖鞋運動拖鞋坡跟高跟低跟寶石涼鞋	服飾與配件精品
威滅滅蟻隊6盒入*12	居家清潔
dac拆除費	交通
奶蓋招牌紅茶	餐飲消費
代收-百研小蘇打菜瓜布/5入	居家清潔
甘蔗青嵐	其他消費
那堤 2021-05-17 g6mr-f4hb	餐飲消費
青茶雪糕	冷凍食品
Syntrend	生活百貨
58713801S	食品雜貨
椒麻黃豆芽	食品雜貨
媚比琳FITME空氣絲絨蜜粉10自然	美容沐浴
冰樂園棒棒冰-蘇打120g	冷凍食品
黑糖沙琪瑪_育成	零食點心
NO.11072 應元直尺	生活百貨
課程學費	書籍
生鮮冷凍品一批(2092585)	其他消費
小女孩印花撞色袖洋裝	服飾與配件精品
蒙納sg-801壓克力水彩顏料-黑	生活百貨
負離子兩用空氣清淨機	大型家電/視聽影音
【桐趣】木之丘實木創意空間櫃26x36(收納櫃)	傢俱寢飾
300元月卡	餐飲消費
百香果琥珀	餐飲消費
841-三角龍(片)	戶外休閒
微醺森林小米酒	菸/酒
雙纖綠茶	飲料沖泡
DP02花田太郎餐包100G牛肉起司	寵物
小磨坊凍頂黑胡椒粉 32g	食品雜貨
【日本SUNSTAR三詩達】巧虎兒童牙膏3入組(草莓X1/薄荷X1/葡萄X1)	嬰幼兒與孕婦
羊毛馬蹄刷-1”	其他消費
加寬防潑水擦手圍裙	其他消費
D鮮奶茶	生鮮冷藏
復古頸掛涼風扇 桌面扇 手持扇 隨身電風扇 迷你電風扇 隨身風扇 小電扇 電風扇 小風扇 電扇	小家電專區
橄欖 無籽中藥橄欖 去籽 蜜餞 果乾 古早味 橄欖 200公克 現貨老公的店	泡麵罐頭
北歐風印染超彈力防貓抓沙發套-二人座-145-185CM之間適用(多款花色可挑選)	寵物
統一鮮蝦(碗)麵*12/24	泡麵罐頭
休旅/大型車折價洗車C100	交通
居家生活補給包 2021-07-19 d5os-d7w8	其他消費
不鏽鋼鑷子-尖	生活百貨
和風煎茶冰淇淋	餐飲消費
葚夏檸檬青/大	餐飲消費
32元飲料	飲料沖泡
Za亮顏洗面乳	美容沐浴
英式玫瑰鮮奶拿鐵	飲料沖泡
南一版 數學百分卷2下	書籍
394970@小YG青少女半高領長袖衫 F	服飾與配件精品
09國中秘書手冊-生物地科	書籍
泡沫雕 200ml	戶外休閒
複製財富：50個程式交易判斷型態	書籍
IQ學習貼紙書 ABC	書籍
SP 廣穎 Blaze B32 32G 隨身碟	3C電子/配件
百利菜瓜布架組2片餐具海綿用	居家清潔
洋香菜葉12g	食品雜貨
生活老媽 極吸水擦拭布  3入	居家清潔
House white 白酒260	菸/酒
TS0031 照燒去骨雞腿排	其他消費
53297042 寬版毛圈圓領衫-女 (淡紫 - M)	服飾與配件精品
P189249	其他消費
熱烏龍茶(壺)	飲料沖泡
混珠珍奶 3號	其他消費
中國歷代大事年表	書籍
A413K透明方格墊板-do it now	生活百貨
811219@J曼秀雷敦水潤肌保濕極效水	美容沐浴
麻芛歐蕾 (H)	餐飲消費
安適寬條紋擦巾3入	傢俱寢飾
蜂蜜金萱茶-冰(中)	餐飲消費
銷魂跳跳雞套餐	其他消費
PF-355精巧時尚冷氣孔杯架-紅	生活百貨
樂迪30 紅	菸/酒
黑芝麻霜淇淋	其他消費
874(1855)-亮片釘珠櫻桃T-黑	其他消費
電腦/手機周邊產品	3C電子/配件
日本北海道紅蘿蔔	食品雜貨
吾維康葉黃素膜衣錠60錠Ocuvite Lutein	食品雜貨
放馬過來抽取式衛生紙300抽/包	居家清潔
亞洲福州麵線250g*20入(白)	食品雜貨
摩卡 法式拿鐵四合一咖啡隨身包(20gX100包/盒)[大買家]	飲料沖泡
芝麻貝果	零食點心
亞可QUEEN SHOP， 服飾.配件， 特價品	其他消費
代收代付兒童 帳篷 遊戲棚 帳棚 露營 野餐 便攜 輕巧 摺疊 可收納 太空人 宇宙 球屋 135cm 遊戲屋 城堡帳篷	戶外休閒
MK 眉刷組	美容沐浴
新奇潔艷漂白水	居家清潔
uni 0.38超細鋼珠筆-黑 #UM-151	生活百貨
幼兒餐	餐飲消費
魔爪管浪潘趣能量飲	飲料沖泡
防招牌豬肉鍋蛋	餐飲消費
復古可擕式磨砂眼鏡盒【開發票】 韓版 按扣眼鏡盒 腰盒 軟盒 可 攜腰帶 軟包 皮革 眼鏡盒 皮革絨布軟	其他消費
口卡哩棒	其他消費
DRWU玻尿酸保濕潔顏凝露150ML	美容沐浴
桌遊	生活百貨
瑜伽姿勢評估與矯正指南（簡體書）	書籍
代收代付 - 【Stay】韓版寬鬆顯瘦內刷毛大學T 連衣裙 長袖上衣 女裝 寬鬆上衣 素色 長袖t恤	服飾與配件精品
烏龍黑巧	其他消費
*重.麥茶	飲料沖泡
★羅技無線鍵盤 K270	3C電子/配件
48元桔平屋韓式	泡麵罐頭
HAC-益生菌+鈣口含錠 120's	食品雜貨
真好家蒸肉粉 -五香	食品雜貨
定金款	交通
JAKOBSBYN pend lampshade 30 clear glass AP CN	3C電子/配件
代收-【團購限定】內衣 LaBome A10068【舒雲Bonny】無鋼圈內衣。橙景紅。M~XXL	服飾與配件精品
立得康均衡(清甜) 237ml*24s	其他消費
KINYO 超高速網路線(5M)/ Cat.5e(CA-5M2) 2021-05-15 ec4p-ykh7	3C電子/配件
(業)泰泰風蝦醬600g(12)<查>	食品雜貨
冰葡萄柚綠茶	飲料沖泡
健康視力表	書籍
青醬奶油雞肉義大利麵	冷凍食品
【熊媽媽買菜網】任選499-鮮凍野生白鯧200-300g 尾	生鮮冷藏
Snagit Upgrade Maintenance	生活百貨
味榮嫩幼筍350g	泡麵罐頭
仙草凍(UBER)	零食點心
福吉茶那堤V	餐飲消費
y四連焦糖爆米花-EIM	零食點心
品客 洋芋片(原味) 110g	零食點心
網站服務費(X000B7A2)	其他消費
山口姬奴果子	零食點心
餐廳清潔費	其他消費
(新)康寶濃湯自然原味火腿蘑菇	泡麵罐頭
包R0521(08)-1561白M8029	其他消費
貝林(紅)	飲料沖泡
質立希臘式優格(蜂蜜)500g(原價99元)效期10/6	其他消費
桃園市民卡9折優惠票(假日第一場)	菸/酒
kidsme嬰兒口腔護理牙刷套裝組-紫紅	嬰幼兒與孕婦
"""Himalaya，保養品 特價品"	其他消費
現貨 健腹器 仰卧起坐輔助器 懶人家用健身器瑜伽瘦身吸盤卷腹器	戶外休閒
套餐-麥香魚 Filet-O-Fish Meal 2021-10-03 g9xs-2hl5	餐飲消費
Get Lucky！助你好運：九個心理習慣，讓你用小改變創造大運氣(免稅)	生活百貨
IF Multi Reference Bookmarks	3C電子/配件
晶工11.9L冰溫熱開飲機 - JD6723	小家電專區
s烤肉飯糰	其他消費
台灣現貨 擼貓日記-動物貼紙 45入 貓咪貼紙包 盒裝貼紙/封口貼 貼紙包 U100	寵物
商業E餐	餐飲消費
(套)加5元升級大杯	餐飲消費
DIY 古銅防盜鍊	生活百貨
紅裙生菜	生鮮冷藏
海尼根330g	菸/酒
超強力磁鐵30mm 5入 GJY30D	生活百貨
大漢特價A4綜合雲彩紙20入7616	生活百貨
475 Lenstown 日拋彩色隱形眼鏡10片-波希米亞蜜桃	美容沐浴
美國翼板牛	餐飲消費
每客思貓主罐-雞肉 鮪115g	寵物
工作手套1雙入	居家清潔
Baby Drink	3C電子/配件
原味奶酪    本家	食品雜貨
EE6999	戶外休閒
香茅油10cc	居家清潔
開心果600	零食點心
炸脆雞	餐飲消費
丸美屋鮭魚飯糰料	冷凍食品
韓泡豚丼 2021-10-02 z0id-0m4a	其他消費
52171084 棉質七分袖針織衫-女 (黑色 - XL)	服飾與配件精品
【愛上吃肉】鮮嫩無骨雞腿排8包	餐飲消費
好富食堂養生滴雞精滋養組	食品雜貨
SN-C001 史努比平	其他消費
咖哩里肌-U	餐飲消費
代收-心花開許願燈-招財(黃)	其他消費
主廚火辣嫩雞吐司	餐飲消費
1單切蓋板組合 20051	生活百貨
洽洽椒麻瓜子[160G/包]	零食點心
克寧奶粉1.35KG	飲料沖泡
草飼之星  熟成沙朗骰子牛肉(100公克±10/片)【赤豪家庭私廚】	其他消費
和牛饗宴-兒童價	餐飲消費
味丹竹炭水700cc	飲料沖泡
比比包裝】和紙膠帶 油漆膠帶 // KIKUSUI //日本菊水 紙膠帶 遮蔽膠帶 油漆貼布 黏度佳 不殘膠 可書寫	生活百貨
抹茶冰淇淋奶綠	餐飲消費
今大行酒精75% 500ml	居家清潔
義美貓熊雪糕 60gX5 2021-06-28 u4dx-vhzc	冷凍食品
杜濱小館兌換券	餐飲消費
多芬沐浴乳１０００ｍｌ水嫩．	美容沐浴
^原萃冷萃蜜香紅茶寶特450ML	飲料沖泡
豆藷	食品雜貨
脆皮小可頌 5入	餐飲消費
【誠意樂活】雪弗來 假牙黏著劑 68g (未滅菌 )美國進口 實體藥局公司貨	美容沐浴
套餐-勁辣鷄腿堡 Spicy Chicken Filet Burger Meal 2021-06-30 t1el-h1t4	餐飲消費
下殺共38款【佳樺牛角館】正品開發票 正天然牛角刮痧按摩器批發MD-76-1牛角美容棒撥筋棒臉部按摩板美顏棒刮痧板經絡棒	生活百貨
黑貓-冷凍（貨到付款）	寵物
【Pelutini】皮面手工綁帶休閒鞋 黑色(0828W-BL)	戶外休閒
金品烏龍茶	飲料沖泡
A.Repair Derma Water 美肌蓮蓬頭補充包-3入	生活百貨
桂花烏龍(M)	飲料沖泡
單點法式吐司1片	生鮮冷藏
海洛因(M)	餐飲消費
鬼滅之刃B6棉線方格筆記	生活百貨
【出清】男款有氧健身無縫舒適短褲 DOMYOS FST 900	服飾與配件精品
卡迪那(波浪海鹽)20元*12入	零食點心
芝麻餅-小	零食點心
高麗菜PCy	其他消費
業外收入.超市-新光三越-運費	交通
.紐崔斯天然成貓1.13kg雞肉	寵物
皇冠香爽粉90g(12)	食品雜貨
レトロ印刷アンソロジー２「わたしのレシピ」	生活百貨
816063@PUMA止滑隱形襪3入裝23~25白	服飾與配件精品
10190-031-031-71- 男T恤	服飾與配件精品
綜合甜心曲奇20入禮盒	其他消費
達克(原+焦)	其他消費
丹尼爾檸檬香球砂	居家清潔
超嫩爆汁大份量去骨雞腿排瘋狂組	其他消費
【好媽媽】無添加玉米鮪魚3入*2條	泡麵罐頭
TS6護一生 沁涼舒緩噴霧 40g  現貨 蝦皮直送	美容沐浴
226314@冷藏肉台糖豬小排/KG	生鮮冷藏
額外費用	交通
基本套餐	餐飲消費
激爆增肉(肉片)	生鮮冷藏
寶拉珍選 抗老化清新潤色防曬乳SPF30_60ml	美容沐浴
翰庭小玫瑰紙林5122	居家清潔
泳具販售	戶外休閒
高級銅口哨+夾A 旻新 LT-102	生活百貨
(曼)潤唇凍	美容沐浴
隔熱牛肉麵碗	鍋具.廚具.濾水
PP-PTP-3NS	生活百貨
初牧紅茶	飲料沖泡
停車位使用費-AP108056(8)	交通
小農商品	餐飲消費
代收-I’M MEME我愛心機好感乾燥唇萃 003(3g)【康是美】	美容沐浴
亞培親護1號820g	食品雜貨
新佑晨奇異果風味飲料	飲料沖泡
代收代付【八八八】e網購~【鋼索掛鉤18-33】218334 掛畫軌道 掛鉤 掛畫 軌道掛勾 懸掛畫框	其他消費
雞塊套餐+紅茶	餐飲消費
TR羊毛野跑襪-CP 黑白 - S	服飾與配件精品
銷魂麻辣	餐飲消費
Kiyod站立飯匙	鍋具.廚具.濾水
Airwaves-極酷薄荷	零食點心
誼林PVC手套-L 12入 YP-107L	居家清潔
海師傅味付海蜇	零食點心
佛羅倫斯迷迭香春雞披薩	寵物
【全館滿額送豪禮】法國BubbleSoda 全自動氣泡水機-白BS-909(內含機器+60L氣瓶*2+1L水瓶*2+外出保冷袋)	其他消費
【YSL】極效活萃夜光仙人掌超級精華30ml(平輸航空版)	美容沐浴
彩色中空纖維綿睡袋	戶外休閒
黑人全亮白極緻酵素淡雅花香牙膏 120g	美容沐浴
標裕-雞腿	餐飲消費
HENGSTYLE-恆隆行	戶外休閒
人生潤便通-10CC2入	生活百貨
KKLife 日式牛咖哩餐盒	餐飲消費
Homemade Pizza	餐飲消費
象印 820ml+480ml不鏽鋼 真空保溫杯超值組合購(SJ-JS08+SM-SS48F)-網	生活百貨
芋頭拿鐵雪花綿	餐飲消費
代收-羅技 M557 藍牙滑鼠(2色)	3C電子/配件
【BN-Home】Sman蜘蛛人2.0獨立筒懶人床(床/單人床/床架/床墊)	傢俱寢飾
蜜粉刷	美容沐浴
【尊爵家Monarch】柏森實用型毛巾吊掛曬衣架(台灣製 毛巾架 伸縮衣架 吊衣架 晾衣架 掛衣架 收納架)	生活百貨
噶瑪蘭威士忌	菸/酒
思琳(股)公司||一流精品、配件	其他消費
東興小熱狗50支	生鮮冷藏
國際EVOLTA鈦元素電池4號6入	其他消費
10245-131-073-07- 卡通女T恤	服飾與配件精品
展譽 黃果	零食點心
海賊撲克牌*(封*12盒)	生活百貨
18.豬排套餐-蛋	餐飲消費
一個美國哲學家的死後日誌：威廉．詹姆士的世界觀	書籍
(外)榛果拿鐵中	餐飲消費
SKATER幼兒紗布口罩-閃電麥昆3入	居家清潔
現貨＊韓國兒童汽座專用睡覺枕 汽座靠枕 兒童汽座枕 安全帶護肩 安全座椅 車用抱枕 安全帶抱枕 推車枕	傢俱寢飾
羊肉-起司/牛奶鍋	寵物
【客滿來】一對2支不鏽鋼加厚10吋25cm 可折疊活動架 可折疊三角架 折疊架 摺疊架  L型支架活動三角架 AEPE	其他消費
花生老	零食點心
其它設備報廢收入	書籍
Cuordi 原味杏仁飲	飲料沖泡
@洛依欣錠*28S	食品雜貨
【RICOLA 利口樂】草本潤喉糖-32g條糖(檸檬香草)	零食點心
231519@台灣紅肉梭仔/KG	食品雜貨
粉紅豬小妹 佩佩豬 吊臂車 玩具貨車 家庭車 消防車 校車 露營車	生活百貨
【SHISEIDO 資生堂東京櫃】即期品 怡麗絲爾淨白晚安凍膜105g(全新公司貨)	美容沐浴
白露拿鐵(中)	飲料沖泡
阿華有事嗎  韓國襪子 迪士尼滿版小頭隱形襪  韓妞必備 正韓百搭純棉襪-唐老鴨	其他消費
便攜手機屏幕清潔劑 電腦 筆電 電視 液晶屏幕 眼鏡布 專用清潔 殺菌 手機清潔 清潔液	3C電子/配件
我的英雄學院公式角色書 Ⅱ Ultra Analysis （全）	書籍
魯汁一杓(外)	鍋具.廚具.濾水
^水森活純淨水(植物瓶) 575ML	美容沐浴
巨匠26孔全開資料夾鐵塔黑	生活百貨
森歐黎漾護髮素	美容沐浴
聯華喜多包7小量販包	零食點心
匈培	戶外休閒
紫蘇梅蒸鱸魚	其他消費
(預)Hello Kitty涼感浴巾-草莓	傢俱寢飾
口紅小零錢包 素	生活百貨
研磨拿鐵-M	飲料沖泡
飛馬營養麵230G	食品雜貨
四角好上手眉筆 05深咖啡	美容沐浴
Orijen渴望無穀高齡犬配方6KG	寵物
圓形洗臉海綿2入	美容沐浴
無·奶蓋烏龍	飲料沖泡
C0138	生活百貨
天水玥秘境鍋物殿兌換券	鍋具.廚具.濾水
【吉品蜜餞】七股哈密瓜 85g	其他消費
香檸愛玉	餐飲消費
大同$3000折價券	小家電專區
黏貼式毛巾收納塞 (2入)-	生活百貨
53065014 柔棉印花長袖襯衫-男 (淺灰印花 - XL)	服飾與配件精品
炙燒明太子北海道山藥(奶素)	泡麵罐頭
松威 USB充電式LED手電筒	生活百貨
吐司 醬燒雞	其他消費
樂事波樂海鹽X湖鹽口味	零食點心
台糖蜆精62ccx9入	食品雜貨
14001300904【KISSDIAMOND】UPF50+遮面防曬冰鋒衣2.0(男女款) L 女款/淺藍	服飾與配件精品
七段式調節便攜筆電支架 電腦支架 折疊式電腦架 散熱器 散熱架 電腦架 筆電散熱 增高 調節高度 台灣現貨 筆記型電腦	3C電子/配件
咔啦雞腿堡雙人餐 2021-06-02 y2hc-qki0	餐飲消費
深度說服力: 培養11項讓人打從心底認同你的人格特質	書籍
(I)可可	飲料沖泡
反光反向傘 抗UV 防曬 自動傘 晴雨傘 自動折疊傘 自動反向傘 傘面加大  現貨 蝦皮直送	服飾與配件精品
foodpanda C餐 2021-06-08 l2vj-i9mq	餐飲消費
477805@PS經典素色長袖襯衫 白 15.5	服飾與配件精品
菌菇什蔬歐姆蛋	餐飲消費
樂天蛋黃派10顆	零食點心
FIN乳酸菌補給飲料250ml	飲料沖泡
B-鋁蓋瓶60ml	戶外休閒
【TOPU ONE】特談優惠 23-25.5cm女鞋 輕量透氣減壓吸震記憶鞋墊休閒鞋(白＆灰＆黑色)	其他消費
瑞鴻培養土25公升	戶外休閒
白腹鯖魚	生鮮冷藏
人人銀磺胺乳膏1% 25g	美容沐浴
代收-艾瑪花園蠟菊蘆薈抗乾敏沐浴膠500ml	美容沐浴
Panasonic 國際牌 1號鹼性電池(2入)	生活百貨
超細纖維打蠟-洗車兩用布 TA-A096	交通
R保濟堂咳王固肺散25g	其他消費
607030@貝拉美人毛穴粉刺鼻頭貼黑10	美容沐浴
客訂-PUKU Tritan滑蓋水壺330ml-深藍	生活百貨
無糖愛文芒果140G	零食點心
CookPower鍋寶 316不鏽鋼保溫快煮壺2.0L(KT-90201W)-白色-網	小家電專區
